Serial Number,player_name,Type,Price (₹ Cr.),Overseas Player,espncricinfo_link
1,Rohit Sharma,Batter,16,No,https://www.espncricinfo.com/cricketers/rohit-sharma-34102
2,Ishan Kishan,Wicket-Keeper,15.25,No,https://www.espncricinfo.com/cricketers/ishan-kishan-720471
3,Hardik Pandya,Batting All-Rounder,15,No,https://www.espncricinfo.com/cricketers/hardik-pandya-625371
4,Jasprit Bumrah,Bowler,12,No,https://www.espncricinfo.com/cricketers/jasprit-bumrah-625383
5,Tim David,Batter,8.25,Yes,https://www.espncricinfo.com/cricketers/tim-david-892749
6,Suryakumar Yadav,Batter,8,No,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507
7,Gerald Coetzee,Bowling All-Rounder,5,Yes,https://www.espncricinfo.com/cricketers/gerald-coetzee-596010
8,Nuwan Thushara,Bowler,4.8,Yes,https://www.espncricinfo.com/cricketers/nuwan-thushara-955235
9,Dilshan Madushanka,Bowler,4.6,Yes,https://www.espncricinfo.com/cricketers/dilshan-madushanka-793007
10,Dewald Brevis,Batting All-Rounder,3,Yes,https://www.espncricinfo.com/cricketers/dewald-brevis-1070665
11,Tilak Varma,Batter,1.7,No,https://www.espncricinfo.com/cricketers/tilak-varma-1170265
12,Mohammad Nabi,Batting All-Rounder,1.5,Yes,https://www.espncricinfo.com/cricketers/mohammad-nabi-25913
13,Jason Behrendorff,Bowler,0.75,Yes,https://www.espncricinfo.com/cricketers/jason-behrendorff-272477
14,Piyush Chawla,Bowler,0.5,No,https://www.espncricinfo.com/cricketers/piyush-chawla-32966
15,Romario Shepherd,Bowling All-Rounder,0.5,Yes,https://www.espncricinfo.com/cricketers/romario-shepherd-677077
16,Arjun Tendulkar,Bowler,0.3,No,https://www.espncricinfo.com/cricketers/arjun-tendulkar-1148776
17,Shams Mulani,Batting All-Rounder,0.2,No,https://www.espncricinfo.com/cricketers/shams-mulani-1131607
18,Akash Madhwal,Bowler,0.2,No,https://www.espncricinfo.com/cricketers/akash-madhwal-1206039
19,Kumar Kartikeya,Bowler,0.2,No,https://www.espncricinfo.com/cricketers/kumar-kartikeya-1159843
20,Vishnu Vinod,Wicket-Keeper,0.2,No,https://www.espncricinfo.com/cricketers/vishnu-vinod-732293
21,Shivalik Sharma,Batting All-Rounder,0.2,No,https://www.espncricinfo.com/cricketers/shivalik-sharma-1167965
22,Naman Dhir,Batting All-Rounder,0.2,No,https://www.espncricinfo.com/cricketers/naman-dhir-1287032
23,Nehal Wadhera,Batting All-Rounder,0.2,No,https://www.espncricinfo.com/cricketers/nehal-wadhera-1151273
24,Anshul Kamboj,Bowling All-Rounder,0.2,No,https://www.espncricinfo.com/cricketers/anshul-kamboj-1175428
25,Shreyas Gopal,Bowler,0.2,No,https://www.espncricinfo.com/cricketers/shreyas-gopal-344580
26,Rishabh Pant,Wicket-Keeper,16,No,https://www.espncricinfo.com/cricketers/rishabh-pant-931581
27,Axar Patel,Bowling All-Rounder,12,No,https://www.espncricinfo.com/cricketers/axar-patel-554691
28,Prithvi Shaw,Batter,8,No,https://www.espncricinfo.com/cricketers/prithvi-shaw-1070168
29,Kumar Kushagra,Wicket-Keeper,7.2,No,https://www.espncricinfo.com/cricketers/kumar-kushagra-1207295
30,Mitchell Marsh,Batting All-Rounder,6.5,Yes,https://www.espncricinfo.com/cricketers/mitchell-marsh-272450
31,Anrich Nortje,Bowler,6.5,Yes,https://www.espncricinfo.com/cricketers/anrich-nortje-481979
32,David Warner,Batter,6.25,Yes,https://www.espncricinfo.com/cricketers/david-warner-219889
33,Mukesh Kumar,Bowler,5.5,No,https://www.espncricinfo.com/cricketers/mukesh-kumar-926851
34,Khaleel Ahmed,Bowler,5.25,No,https://www.espncricinfo.com/cricketers/khaleel-ahmed-942645
35,Jhye Richardson,Bowler,5,Yes,https://www.espncricinfo.com/cricketers/jhye-richardson-774223
36,Harry Brook,Batter,4,Yes,https://www.espncricinfo.com/cricketers/harry-brook-911707
37,Kuldeep Yadav,Bowler,2,No,https://www.espncricinfo.com/cricketers/kuldeep-yadav-559235
38,Sumit Kumar,Bowling All-Rounder,1,No,https://www.espncricinfo.com/cricketers/sumit-kumar-1159734
39,Shai Hope,Wicket-Keeper,0.75,Yes,https://www.espncricinfo.com/cricketers/shai-hope-581379
