Player Name,Mat,Inns,NO,Runs,HS,Bat_Ave,BF,Bat_SR,100s,50s,4s,6s,Ct,St,Wkts,BBI,BBM,Bow_Ave,Econ,Bow_SR,4w,5w,10w
Rohit Sharma,159,151,19,4231,121*,32.05,3003,140.89,5,32,383,205,65,0,1,1/22,1/22,113.00,9.97,68.0,0,0,0
Ishan Kishan,32,32,1,796,89,25.67,640,124.37,0,6,79,36,13,3,-,-,-,-,-,-,-,-,-
Hardik Pandya,105,82,23,1641,71*,27.81,1131,145.09,0,4,122,87,52,0,87,4/16,4/16,26.01,8.17,19.0,3,0,0
Jasprit Bumrah,70,8,5,8,7,2.66,14,57.14,0,0,1,0,9,0,89,3/7,3/7,17.74,6.27,16.9,0,0,0
Tim David,51,45,11,1166,92*,34.29,715,163.07,0,6,98,63,32,0,5,1/18,1/18,51.00,9.32,32.8,0,0,0
Suryakumar Yadav,74,71,11,2544,117,42.40,1501,169.48,4,21,231,144,45,0,2,2/5,2/5,2.50,5.00,3.0,0,0,0
Gerald Coetzee,6,5,0,25,13,5.00,29,86.20,0,0,1,1,1,0,8,3/32,3/32,25.87,10.18,15.2,0,0,0
Nuwan Thushara,13,5,3,8,6,4.00,14,57.14,0,0,1,0,0,0,20,5/20,5/20,15.65,8.27,11.3,2,1,0
Dilshan Madushanka,15,5,1,2,1*,0.50,7,28.57,0,0,0,0,4,0,15,3/24,3/24,31.86,9.75,19.6,0,0,0
Dewald Brevis,2,2,0,5,5,2.50,7,71.42,0,0,0,0,1,0,-,-,-,-,-,-,-,-,-
Tilak Varma,16,15,5,336,55*,33.60,241,139.41,0,2,29,16,10,0,2,1/5,1/5,13.00,5.20,15.0,0,0,0
Mohammad Nabi,129,121,24,2165,89,22.31,1590,136.16,0,6,148,108,70,0,96,4/10,4/10,28.16,7.33,23.0,3,0,0
Jason Behrendorff,17,2,1,7,5,7.00,9,77.77,0,0,0,0,7,0,18,4/21,4/21,24.61,8.35,17.6,1,0,0
Piyush Chawla,7,1,0,0,0,0.00,1,0.00,0,0,0,0,2,0,4,2/13,2/13,37.75,6.56,34.5,0,0,0
Romario Shepherd,46,28,13,395,44*,26.33,275,143.63,0,0,14,32,7,0,50,4/31,4/31,26.92,9.77,16.5,1,0,0
Rishabh Pant,76,66,14,1209,65*,23.25,950,127.26,0,3,111,44,40,11,-,-,-,-,-,-,-,-,-
Axar Patel,62,37,14,463,65,20.13,321,144.23,0,1,32,23,21,0,62,3/9,3/9,23.01,7.38,18.6,0,0,0
Prithvi Shaw,1,1,0,0,0,0.00,1,0.00,0,0,0,0,1,0,-,-,-,-,-,-,-,-,-
Mitchell Marsh,65,62,11,1629,92*,31.94,1203,135.41,0,9,139,76,31,0,17,3/24,3/24,22.76,7.74,17.6,0,0,0
Anrich Nortje,42,12,6,17,4*,2.83,35,48.57,0,0,1,0,10,0,53,4/7,4/7,19.16,7.01,16.3,3,0,0
David Warner,110,110,12,3277,100*,33.43,2300,142.47,1,28,337,122,62,0,-,-,-,-,-,-,-,-,-
Mukesh Kumar,17,4,3,5,4*,5.00,5,100.00,0,0,1,0,2,0,20,4/22,4/22,24.35,9.01,16.2,1,0,0
Khaleel Ahmed,18,2,2,1,1*,-,2,50.00,0,0,0,0,4,0,16,2/27,2/27,35.12,8.51,24.7,0,0,0
Jhye Richardson,18,8,5,45,11,15.00,51,88.23,0,0,3,1,10,0,19,3/26,3/26,29.26,8.42,20.8,0,0,0
Harry Brook,39,32,9,707,81*,30.73,484,146.07,0,3,57,30,27,0,-,-,-,-,-,-,-,-,-
Kuldeep Yadav,40,7,3,46,23*,11.50,59,77.96,0,0,2,0,12,0,69,5/17,5/17,14.07,6.77,12.4,1,2,0
Shai Hope,36,34,4,775,82*,25.83,576,134.54,0,4,58,41,13,1,-,-,-,-,-,-,-,-,-
Ishant Sharma,14,3,2,8,5*,8.00,9,88.88,0,0,1,0,4,0,8,2/34,2/34,50.00,8.63,34.7,0,0,0
Lungi Ngidi,43,13,8,41,13*,8.20,52,78.84,0,0,4,0,8,0,63,5/39,5/39,20.93,9.23,13.6,2,1,0
Tristan Stubbs,31,25,5,557,76,27.85,404,137.87,0,2,45,25,17,0,0,-,-,-,20.00,-,0,0,0
Cameron Green,13,12,2,263,62*,26.30,172,152.90,0,3,21,16,6,0,12,3/35,3/35,23.25,8.90,15.6,0,0,0
Virat Kohli,125,117,31,4188,122*,48.69,3056,137.04,1,38,369,124,54,0,4,1/13,1/13,51.00,8.05,38.0,0,0,0
Alzarri Joseph,32,12,8,90,16,22.50,82,109.75,0,0,5,5,10,0,50,5/40,5/40,20.78,8.65,14.4,2,1,0
Glenn Maxwell,113,104,17,2600,145*,29.88,1680,154.76,5,11,217,134,52,0,43,3/10,3/10,30.46,8.02,22.7,0,0,0
Mohammed Siraj,16,4,2,14,7*,7.00,16,87.50,0,0,1,0,6,0,14,4/17,4/17,32.28,7.79,24.8,1,0,0
Faf du Plessis,50,50,7,1528,119,35.53,1137,134.38,1,10,140,50,24,0,0,-,-,-,2.25,-,0,0,0
Dinesh Karthik,60,48,22,686,55,26.38,481,142.61,0,1,71,28,30,8,0,-,-,-,18.00,-,0,0,0
